listing_ID,town,est_rental_revenue_median,estimated_ADR,Est_adj_occupancy,active_days,booking_window,length_of_stay,dynamic_pricing,min_stay,management,Bedrooms,bathrooms,max_guests,listed_price,is_active,economic_Category,blocked_days,rating,Num_Reviews,beachfront,hot_tub,EV_charger,kitchen,pool,pets_allowed,smoking_allowed
1177408437218260228,Southend-on-sea,6295,131.14,30,158,17,7,None,1,Individual,3,1,6,142,Yes,Midscale,131,4.92,12,No,No,No,Yes,No,Yes,No
901394408512805822,Southend-on-sea,6561,142.62,21,224,0,34,None,7,Moderate,3,1.5,7,210,Yes,Upscale,142,4.83,0,No,No,No,Yes,No,Yes,No
916756068284772903,Southend-on-sea,6828,89.84,26,293,13,4,None,3,Individual,3,1,5,133,Yes,Midscale,73,5,3,No,No,No,Yes,No,No,No
1349122413399943366,Southend-on-sea,6898,135.26,57,89,5,4,High,2,Small,3,1,6,147,Yes,Midscale,6,5,7,No,No,No,Yes,No,No,No
1297871615203939195,Southend-on-sea,7378,160.4,85,54,32,13,Moderate,2,Moderate,3,1.5,5,111,Yes,Upscale,100,4.5,4,No,No,No,Yes,No,No,No
1133776948282456252,Southend-on-sea,7626,141.22,59,91,20,5,Moderate,1,Individual,3,1,5,162,No,Upscale,30,3.13,8,No,No,No,Yes,No,No,No
46079897,Southend-on-sea,7660,77.37,62,159,3,13,None,4,Large,3,1,5,94,Yes,Midscale,169,5,4,No,No,No,Yes,No,No,No
1312412351681901612,Southend-on-sea,7666,93.48,72,114,3,14,None,2,Individual,3,1,5,111,Yes,Midscale,17,5,3,No,No,No,Yes,No,Yes,No
809501303830183077,Southend-on-sea,7775,97.19,71,112,26,43,None,2,Individual,3,1.5,5,123,Yes,Midscale,194,5,4,No,No,No,Yes,No,No,No
1118022013774895383,Southend-on-sea,7816,132.48,50,117,13,4,High,2,Small,3,1,8,139,No,Midscale,6,4.33,15,No,No,No,Yes,No,Yes,No
725823036821709871,Southend-on-sea,7859,145.54,15,363,42,5,None,2,Small,3,2.5,8,186,Yes,Upscale,3,3.83,6,No,No,No,Yes,No,No,No
1226492854775541781,Southend-on-sea,8404,142.45,24,249,10,4,None,1,Individual,3,1.5,6,169,Yes,Upscale,13,5,9,No,No,No,Yes,No,No,No
686790607188121004,Southend-on-sea,8971,135.92,44,151,13,7,None,4,Small,3,1.5,5,175,No,Midscale,2,5,5,No,No,No,Yes,No,No,No
752159085222882772,Southend-on-sea,9152,86.34,34,314,24,8,Low,1,Small,3,1,6,121,Yes,Midscale,52,3.29,7,No,No,No,Yes,No,No,No
1222486706405583785,Southend-on-sea,9488,83.96,92,123,16,31,Unknown,1,Unknown,3,1,4,119,Yes,Midscale,155,3,1,No,No,No,Yes,No,No,No
862224458811074515,Southend-on-sea,9972,104.97,49,195,30,31,None,14,Moderate,3,2,7,149,No,Midscale,6,4.68,0,No,No,No,Yes,No,Yes,No
26809863,Southend-on-sea,10020,77.08,40,324,1,17,None,1,Large,3,1.5,4,104,No,Midscale,14,4.43,42,No,No,No,Yes,No,No,No
813169914280647802,Southend-on-sea,10313,88.91,41,284,26,4,None,1,Small,3,1,7,136,No,Midscale,72,4.2,5,No,No,No,Yes,No,No,No
1310963349029599795,Southend-on-sea,10621,100.2,74,143,4,24,High,2,Moderate,3,2,7,114,Yes,Midscale,9,4.58,12,No,No,No,Yes,No,No,No
653518127717273215,Southend-on-sea,10946,109.46,43,231,36,7,None,2,Individual,3,2,6,159,Yes,Midscale,135,5,3,No,No,No,Yes,No,No,No
887585981629732954,Southend-on-sea,11641,127.92,88,104,92,11,Moderate,3,Small,3,2,6,186,No,Midscale,66,5,5,No,No,No,Yes,No,Yes,No
1231889174024375303,Southend-on-sea,11807,134.18,52,170,45,2,None,1,Individual,3,1,6,137,Yes,Midscale,93,4.93,54,No,No,No,Yes,No,No,No
1153758945989371824,Southend-on-sea,12400,93.23,72,186,28,6,Low,3,Individual,3,1.5,6,106,No,Midscale,74,4.8,20,No,No,No,No,No,No,No
